date,pm25,pm10,no2,so2,co,o3,aqi,temp,humidity,wind,day_of_week,month
2015-01-01,313.22,607.98,36.39,9.25,15.2,41.68,472.0,30,60,5,3,1
2015-01-02,186.18,269.55,32.87,6.65,9.54,29.97,454.0,30,60,5,4,1
2015-01-03,87.18,131.9,30.31,2.65,10.61,19.71,143.0,30,60,5,5,1
2015-01-04,151.84,241.84,36.91,4.63,11.54,25.36,319.0,30,60,5,6,1
2015-01-05,146.6,219.13,34.92,3.33,9.2,23.2,325.0,30,60,5,0,1
2015-01-06,149.58,252.1,37.84,3.66,9.44,26.83,318.0,30,60,5,1,1
2015-01-07,217.87,376.51,40.15,5.82,9.78,28.96,353.0,30,60,5,2,1
2015-01-08,229.9,360.95,43.16,3.31,11.01,30.51,383.0,30,60,5,3,1
2015-01-09,201.66,397.43,38.56,3.48,11.09,32.94,375.0,30,60,5,4,1
2015-01-10,221.02,361.74,46.39,5.91,9.7,34.12,376.0,30,60,5,5,1
2015-01-11,205.41,393.2,47.29,5.54,10.98,50.37,379.0,30,60,5,6,1
2015-01-12,212.41,345.63,44.71,5.17,9.3,40.08,375.0,30,60,5,0,1
2015-01-13,197.61,301.04,45.88,5.95,11.52,39.54,366.0,30,60,5,1,1
2015-01-14,164.39,227.38,41.17,4.85,10.32,42.05,353.0,30,60,5,2,1
2015-01-15,166.19,283.93,56.7,6.94,10.81,43.25,340.0,30,60,5,3,1
2015-01-16,174.98,309.99,49.41,4.69,11.46,34.7,356.0,30,60,5,4,1
2015-01-17,196.46,356.2,53.04,5.13,8.87,25.77,360.0,30,60,5,5,1
2015-01-18,201.51,359.75,53.77,5.43,8.99,23.22,370.0,30,60,5,6,1
2015-01-19,183.35,305.13,39.88,4.21,9.02,25.34,362.0,30,60,5,0,1
2015-01-20,165.63,257.04,34.23,4.11,8.03,22.69,340.0,30,60,5,1,1
2015-01-21,159.54,235.27,22.56,7.05,9.01,18.56,338.0,30,60,5,2,1
2015-01-22,143.68,183.89,21.82,8.64,10.58,6.94,332.0,30,60,5,3,1
2015-01-23,128.73,136.07,17.35,6.77,8.74,10.91,254.0,30,60,5,4,1
2015-01-24,164.98,200.02,15.77,8.89,9.39,9.35,324.0,30,60,5,5,1
2015-01-25,148.59,203.81,20.83,5.96,11.44,16.65,333.0,30,60,5,6,1
2015-01-26,129.34,137.86,25.66,6.78,10.19,18.18,292.0,30,60,5,0,1
2015-01-27,154.2,217.2,30.39,6.42,10.36,17.11,318.0,30,60,5,1,1
2015-01-28,134.6,156.9,28.6,5.21,10.21,15.23,295.0,30,60,5,2,1
2015-01-29,173.13,277.0,38.34,5.53,11.74,16.29,327.0,30,60,5,3,1
2015-01-30,178.04,272.61,38.43,6.43,11.58,14.91,345.0,30,60,5,4,1
2015-01-31,158.59,207.06,41.36,5.03,8.7,17.51,334.0,30,60,5,5,1
2015-02-01,211.59,371.05,58.17,9.9,13.08,23.28,358.0,30,60,5,6,2
2015-02-02,163.64,219.84,37.25,5.31,10.59,28.38,349.0,30,60,5,0,2
2015-02-03,157.71,194.09,31.05,5.64,8.21,28.56,334.0,30,60,5,1,2
2015-02-04,137.26,147.08,29.69,5.06,9.11,15.07,313.0,30,60,5,2,2
2015-02-05,131.76,127.42,36.51,4.85,8.18,21.7,262.0,30,60,5,3,2
2015-02-06,151.6,330.99,67.0,9.13,5.51,33.92,303.0,30,60,5,4,2
2015-02-07,160.75,210.52,57.69,6.91,10.28,43.44,329.0,30,60,5,5,2
2015-02-08,145.34,215.69,50.39,8.66,5.39,30.43,323.0,30,60,5,6,2
2015-02-09,134.67,109.86,39.18,9.7,5.11,20.62,266.0,30,60,5,0,2
2015-02-10,153.07,218.23,42.2,5.81,10.88,19.02,319.0,30,60,5,1,2
2015-02-11,116.91,316.14,53.63,7.54,12.64,27.17,334.0,30,60,5,2,2
2015-02-12,177.98,394.97,42.73,9.2,13.75,25.58,342.0,30,60,5,3,2
2015-02-13,167.01,328.43,44.61,7.77,11.26,27.62,341.0,30,60,5,4,2
2015-02-14,193.96,412.46,53.81,9.36,11.73,34.22,377.0,30,60,5,5,2
2015-02-15,184.06,497.37,58.15,9.13,13.78,40.91,391.0,30,60,5,6,2
2015-02-16,152.62,310.74,44.22,6.79,11.55,34.36,358.0,30,60,5,0,2
2015-02-17,161.27,195.78,25.4,5.6,10.3,41.62,327.0,30,60,5,1,2
2015-02-18,188.2,253.53,60.29,8.65,16.23,36.54,365.0,30,60,5,2,2
2015-02-19,159.97,193.78,40.51,5.08,13.11,31.88,352.0,30,60,5,3,2
2015-02-20,144.12,162.2,34.71,5.93,11.45,31.61,317.0,30,60,5,4,2
2015-02-21,155.38,191.03,45.11,12.24,14.21,30.11,320.0,30,60,5,5,2
2015-02-22,124.1,107.61,31.83,5.68,9.73,27.19,279.0,30,60,5,6,2
2015-02-23,141.39,157.01,38.23,9.43,9.29,36.86,281.0,30,60,5,0,2
2015-02-24,170.16,238.33,48.4,9.28,14.17,37.39,354.0,30,60,5,1,2
2015-02-25,148.19,169.57,29.28,5.94,14.13,31.57,340.0,30,60,5,2,2
2015-02-26,140.78,171.64,20.95,6.98,13.61,28.72,323.0,30,60,5,3,2
2015-02-27,130.42,163.67,24.75,12.12,12.78,34.08,315.0,30,60,5,4,2
